,booking_count,age_in_days,core_earning,active_days,followers,company tier numerical,college tier numerical,years of experience,# of posts/week,avg engagement per post last 30 days,# of Posts last 30 days,# of Comments last 30 days,# of Reactions last 30 days,gender_score,# of promotional posts,target_score
293,23,136,0,105,17038.0,7.0,7.0,15.0,8.4,56.77777778,18.0,13.0,1.0,1,9.0,0
294,23,109,1384,109,12758.0,10.0,7.0,2.0,0.245614035,244.5,1.0,1.0,0.0,1,1.0,1
295,23,88,22978,88,61890.0,8.0,7.0,5.0,4.666666667,1066.5,2.0,2.0,7.0,0,0.0,1
296,23,65,0,65,8779.0,8.0,7.0,9.0,7.466666667,32.25,16.0,14.0,1.0,0,5.0,0
297,22,314,3950,314,5635.0,10.0,9.0,5.0,0.21875,29.0,0.0,0.0,2.0,0,0.0,1
298,22,28,2228,28,74677.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
299,22,296,681,296,8930.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
300,22,15,3950,15,17821.0,10.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
301,22,304,3199,298,12144.0,8.0,7.0,6.0,5.280701754,64.97674419,34.0,16.0,6.0,0,11.0,1
302,22,197,20000,194,804.0,8.0,7.0,7.0,0.318181818,18.0,1.0,0.0,0.0,1,1.0,1
304,22,34,0,34,1118.0,7.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
305,22,6,600,6,4317.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
306,22,44,5199,38,33775.0,1.0,8.0,8.0,10.80701754,8.204545455,40.0,10.0,0.0,1,13.0,1
307,22,14,3185,9,15946.0,8.0,7.0,3.0,8.166666667,35.71428571,7.0,2.0,6.0,1,0.0,1
309,21,315,160,315,3256.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
310,21,3,0,3,5225.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
311,21,224,0,224,10571.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
313,21,152,7680,130,30373.0,10.0,7.0,6.0,1.689655172,181.7142857,7.0,4.0,4.0,0,6.0,1
315,21,129,1413,65,585.0,10.0,7.0,0.0,0.194444444,140.0,0.0,0.0,0.0,1,0.0,1
316,21,105,10131,105,1386.0,7.0,7.0,3.0,1.596491228,19.30769231,2.0,0.0,0.0,1,0.0,1
317,21,80,2394,74,4329.0,7.0,8.0,0.0,5.833333333,45.0,5.0,6.0,3.0,1,3.0,1
318,21,30,0,30,20474.0,5.0,7.0,10.0,1.596491228,47.38461538,9.0,2.0,0.0,1,5.0,0
319,21,6,0,6,2536.0,10.0,8.0,5.0,0.122807018,112.0,0.0,0.0,0.0,1,0.0,0
320,20,54,0,54,4973.0,8.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
321,20,242,2045,242,14404.0,10.0,6.0,4.0,0.212121212,61.0,0.0,1.0,6.0,1,0.0,1
322,20,256,4550,256,3885.0,8.0,7.0,9.0,1.473684211,8.5,3.0,0.0,0.0,1,1.0,1
323,20,233,0,233,6411.0,9.0,9.0,5.0,0.368421053,1399.0,1.0,0.0,0.0,1,1.0,0
326,20,14,0,14,7413.0,7.0,8.0,21.0,0.859649123,37.57142857,5.0,0.0,0.0,1,0.0,0
327,20,15,399,15,6497.0,10.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
328,20,82,4050,79,9403.0,10.0,9.0,1.0,1.166666667,570.0,1.0,1.0,0.0,0,0.0,1
329,20,89,200,71,6395.0,7.0,7.0,9.0,7.0,214.5,2.0,2.0,0.0,1,2.0,1
330,20,35,3084,35,41385.0,7.0,8.0,5.0,2.96969697,109.7857143,13.0,2.0,3.0,1,5.0,1
331,19,217,0,217,3615.0,9.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
333,19,194,750,194,10266.0,8.0,7.0,2.0,0.245614035,13.0,1.0,0.0,0.0,1,0.0,1
334,19,46,1551,46,10844.0,10.0,7.0,2.0,2.210526316,226.3888889,12.0,0.0,3.0,1,6.0,1
335,19,115,3743,115,9354.0,10.0,6.0,14.0,0.466666667,53.5,2.0,4.0,7.0,1,0.0,1
337,19,52,0,52,2275.0,10.0,8.0,3.0,0.122807018,321.0,0.0,0.0,0.0,1,0.0,0
339,19,0,0,0,2957.0,8.0,7.0,0.0,1.228070175,63.0,1.0,0.0,1.0,1,1.0,0
341,19,17,0,17,5622.0,9.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
342,18,333,0,333,3944.0,7.0,8.0,1.0,1.473684211,21.33333333,9.0,2.0,0.0,1,0.0,0
343,18,317,0,317,1056.0,10.0,10.0,4.0,0.466666667,4.0,1.0,0.0,0.0,1,0.0,0
344,18,8,0,8,9251.0,7.0,7.0,2.0,2.227272727,29.14285714,7.0,8.0,0.0,0,3.0,0
345,18,2,0,2,8077.0,9.0,8.0,2.0,0.875,151.0,1.0,1.0,0.0,1,1.0,0
346,18,278,35195,278,11399.0,8.0,9.0,3.0,2.210526316,50.55555556,8.0,1.0,3.0,1,3.0,1
347,18,275,600,275,151428.0,8.0,7.0,4.0,1.75,22.5,2.0,0.0,2.0,1,2.0,1
348,18,13,0,13,99.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
350,18,26,0,26,3639.0,8.0,6.0,8.0,0.325581395,85.0,1.0,0.0,0.0,1,1.0,0
351,18,11,0,7,6932.0,9.0,9.0,9.0,2.666666667,56.375,8.0,6.0,0.0,1,2.0,0
353,18,70,1683,70,96919.0,7.0,8.0,9.0,0.724137931,1514.666667,3.0,11.0,35.0,1,1.0,1
354,18,74,148481,70,74957.0,8.0,9.0,3.0,6.140350877,1257.92,45.0,12.0,33.0,1,7.0,1
355,18,61,5211,56,17607.0,10.0,8.0,2.0,2.8,559.1666667,12.0,8.0,4.0,1,1.0,1
357,18,49,0,49,9227.0,8.0,7.0,3.0,1.842105263,16.53333333,12.0,0.0,0.0,1,3.0,0
358,18,37,1000,37,3901.0,8.0,6.0,6.0,2.824561404,43.69565217,5.0,1.0,0.0,1,0.0,1
359,18,22,0,20,815.0,9.0,10.0,11.0,0.122807018,29.0,0.0,0.0,0.0,1,0.0,0
360,17,388,1483,388,27841.0,8.0,9.0,7.0,4.052631579,24.09090909,11.0,2.0,6.0,1,0.0,1
361,17,7,398,7,29941.0,9.0,8.0,3.0,0.0,0.0,0.0,1.0,6.0,1,0.0,1
362,17,131,49,131,821.0,10.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
363,17,300,500,300,5150.0,10.0,8.0,0.0,1.4,26.0,1.0,1.0,3.0,1,1.0,1
364,17,232,0,232,3244.0,9.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
365,17,188,0,188,5795.0,8.0,7.0,2.0,0.166666667,425.0,0.0,0.0,0.0,1,0.0,0
366,17,2,0,2,2125.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
367,17,55,0,55,855.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
370,17,77,276,71,11818.0,7.0,10.0,3.0,7.0,68.0,4.0,3.0,4.0,1,0.0,1
371,17,165,6550,104,99148.0,8.0,7.0,1.0,8.75,570.8,5.0,9.0,16.0,1,0.0,1
373,17,117,13383,82,22837.0,9.0,7.0,12.0,0.29787234,372.5,0.0,0.0,0.0,1,0.0,1
374,17,99,2000,99,12057.0,8.0,7.0,5.0,17.5,176.8,5.0,10.0,13.0,1,3.0,1
375,17,27,1348,27,1822.0,7.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
376,17,13,833,7,3918.0,8.0,10.0,6.0,1.105263158,3.444444444,3.0,0.0,0.0,1,1.0,1
377,17,23,385,19,5240.0,7.0,8.0,2.0,4.869565217,20.1875,16.0,8.0,1.0,1,1.0,1
378,16,305,3850,305,50624.0,8.0,9.0,26.0,1.909090909,615.6666667,8.0,0.0,8.0,0,0.0,1
380,16,61,2999,61,5949.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
381,16,330,1483,330,1930.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
383,16,64,778,64,0.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
385,16,214,0,214,1626.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
386,16,197,0,197,2239.0,9.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
387,16,78,2450,78,16415.0,8.0,7.0,10.0,1.909090909,385.0,6.0,1.0,6.0,1,1.0,1
388,16,139,1450,139,15338.0,8.0,8.0,2.0,6.125,62.0,7.0,1.0,0.0,1,5.0,1
389,16,133,25000,133,10459.0,10.0,7.0,5.0,0.122807018,65.0,0.0,0.0,0.0,0,0.0,1
390,16,110,300,110,13224.0,8.0,7.0,2.0,2.8,129.8333333,6.0,5.0,1.0,0,4.0,1
393,16,81,15100,79,2708.0,7.0,9.0,2.0,0.49122807,70.0,1.0,0.0,0.0,1,1.0,1
395,16,30,8000,30,23765.0,10.0,6.0,7.0,0.2,128.0,0.0,0.0,0.0,0,0.0,1
396,16,15,0,15,3922.0,7.0,7.0,2.0,1.361111111,44.28571429,6.0,5.0,0.0,1,0.0,0
397,16,20,0,13,1364.0,10.0,9.0,5.0,0.411764706,67.0,1.0,1.0,0.0,1,1.0,0
400,15,279,350,279,6057.0,8.0,7.0,3.0,0.859649123,126.7142857,1.0,1.0,0.0,1,0.0,1
401,15,266,2586,266,3230.0,8.0,10.0,6.0,0.205882353,49.0,0.0,0.0,0.0,1,0.0,1
402,15,42,0,42,7945.0,9.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
404,15,153,3288,153,9849.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
405,15,134,10085,134,1167.0,5.0,8.0,5.0,0.823529412,8.75,1.0,0.0,1.0,1,1.0,1
406,15,94,2500,94,3166.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
407,15,1,0,1,4911.0,8.0,7.0,1.0,12.25,67.14285714,7.0,6.0,3.0,1,1.0,0
408,15,121,41000,94,49855.0,9.0,9.0,4.0,2.333333333,527.5,2.0,1.0,11.0,1,2.0,1
409,15,58,99,58,2485.0,9.0,6.0,6.0,6.533333333,23.28571429,14.0,6.0,8.0,1,2.0,1
410,15,74,2400,74,11168.0,10.0,8.0,5.0,7.318181818,98.17391304,23.0,9.0,1.0,1,1.0,1
411,15,39,4835,39,12879.0,10.0,7.0,2.0,0.614035088,371.6,1.0,1.0,0.0,1,1.0,1
412,15,74,699,74,39238.0,8.0,8.0,1.0,7.0,91.0,1.0,3.0,0.0,0,1.0,1
413,15,35,0,35,631.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
414,15,26,0,26,4908.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
415,15,61,798,61,14095.0,8.0,9.0,11.0,0.245614035,6.5,0.0,0.0,0.0,0,0.0,1
416,15,27,8287,19,20865.0,8.0,8.0,3.0,2.824561404,824.173913,18.0,10.0,4.0,1,12.0,1
418,14,121,0,121,1018.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
419,14,375,1599,350,3969.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1
420,14,258,392,258,5032.0,7.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
421,14,22,1076,22,1506.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
422,14,19,0,19,6013.0,10.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
424,14,181,0,181,3570.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
425,14,78,0,74,8090.0,7.0,9.0,8.0,0.98245614,38.125,7.0,5.0,1.0,0,2.0,0
426,14,67,456,67,1845.0,10.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
428,14,73,4699,73,62162.0,8.0,7.0,3.0,2.966101695,993.64,4.0,0.0,4.0,1,1.0,1
429,14,41,0,41,3313.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
431,14,99,7250,99,7348.0,10.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1
432,14,98,0,98,2639.0,10.0,8.0,8.0,0.122807018,17.0,0.0,0.0,0.0,1,0.0,0
433,14,64,13,64,1064.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
434,14,55,350,55,17869.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
435,14,87,544,63,10299.0,8.0,7.0,8.0,0.411764706,45.0,1.0,0.0,1.0,1,1.0,1
436,14,28,167,28,2675.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
437,14,6,0,6,2064.0,7.0,8.0,8.0,0.122807018,70.0,0.0,0.0,0.0,1,0.0,0
438,14,26,0,20,14902.0,7.0,8.0,5.0,5.6,217.9166667,12.0,10.0,1.0,0,1.0,0
439,14,21,0,16,4768.0,8.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
440,13,48,294,48,3896.0,8.0,7.0,9.0,0.122807018,110.0,0.0,0.0,0.0,1,0.0,1
441,13,155,2000,155,11672.0,10.0,6.0,5.0,0.49122807,690.25,1.0,0.0,0.0,1,0.0,1
442,13,349,1347,349,2362.0,10.0,8.0,4.0,0.245614035,151.5,0.0,0.0,0.0,1,0.0,1
443,13,72,0,72,781.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
444,13,41,7400,41,6715.0,10.0,8.0,4.0,1.228070175,65.7,3.0,0.0,1.0,1,1.0,1
445,13,217,0,217,2884.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
446,13,273,0,273,1842.0,8.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
448,13,14,0,14,2019.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
449,13,246,4390,246,25638.0,9.0,8.0,1.0,0.724137931,232.3333333,3.0,1.0,4.0,1,2.0,1
450,13,247,87,228,5074.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
452,13,153,1695,153,41483.0,10.0,7.0,6.0,5.352941176,223.0769231,13.0,6.0,7.0,1,5.0,1
455,13,91,0,91,38394.0,8.0,7.0,6.0,4.2,158.0,3.0,3.0,1.0,1,2.0,0
456,13,138,200,85,4293.0,7.0,7.0,5.0,0.859649123,71.42857143,3.0,1.0,0.0,1,0.0,1
457,13,118,1805,118,1940.0,8.0,8.0,2.0,0.368421053,557.3333333,0.0,0.0,0.0,0,0.0,1
458,13,90,1389,90,23873.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
460,13,69,2090,69,36173.0,7.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,1,0.0,1
462,13,74,1150,74,11828.0,10.0,9.0,3.0,6.125,64.57142857,7.0,3.0,6.0,0,0.0,1
463,13,34,0,34,19722.0,3.0,8.0,11.0,2.578947368,120.5714286,14.0,3.0,0.0,1,1.0,0
464,13,80,477,67,994.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
465,13,77,2996,77,700.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
466,13,37,0,37,25870.0,8.0,7.0,0.0,3.5,3733.0,1.0,4.0,9.0,1,1.0,0
467,13,16,10,16,4941.0,9.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
469,12,79,0,79,894.0,8.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
470,12,350,0,350,13440.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
471,12,0,0,0,1115.0,9.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
472,12,34,0,34,1425.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
473,12,281,0,281,13008.0,8.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
474,12,34,0,34,31844.0,8.0,7.0,4.0,2.566666667,77.36363636,11.0,7.0,3.0,1,8.0,0
475,12,22,0,22,480.0,8.0,7.0,3.0,0.49122807,80.75,3.0,0.0,3.0,0,3.0,0
476,12,252,98,252,2032.0,10.0,7.0,2.0,0.614035088,20.4,3.0,1.0,0.0,0,3.0,0
483,12,159,0,120,3287.0,9.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
484,12,63,3097,63,9984.0,10.0,8.0,7.0,0.358974359,62.5,1.0,0.0,0.0,1,0.0,1
486,12,47,6501,47,6419.0,7.0,9.0,3.0,2.153846154,13.5,4.0,5.0,0.0,1,0.0,1
488,12,43,1000,43,1665.0,10.0,7.0,5.0,0.466666667,14.0,1.0,0.0,1.0,1,1.0,1
489,12,34,0,34,11807.0,8.0,8.0,6.0,1.866666667,59.4375,9.0,7.0,0.0,1,7.0,0
491,12,44,1,44,8267.0,9.0,9.0,3.0,0.875,186.0,1.0,1.0,0.0,1,0.0,0
492,12,74,4288,74,97945.0,10.0,8.0,4.0,5.833333333,2182.6,5.0,5.0,16.0,1,1.0,1
493,12,74,0,74,2250.0,8.0,8.0,5.0,0.636363636,11.5,2.0,0.0,0.0,1,2.0,0
494,12,99,747,99,5923.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
495,12,104,14986,99,862.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
496,12,73,1043,73,11593.0,8.0,7.0,3.0,0.368421053,156.6666667,0.0,0.0,0.0,1,0.0,1
497,12,1,0,1,2312.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
498,12,24,0,4,3294.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
499,12,7,100,7,1585.0,10.0,7.0,5.0,0.466666667,28.0,1.0,0.0,0.0,0,0.0,1
500,12,32,1200,32,3299.0,8.0,7.0,11.0,0.49122807,65.0,1.0,0.0,0.0,1,0.0,1
501,12,45,6484,37,16597.0,8.0,7.0,5.0,3.315789474,131.5185185,24.0,9.0,3.0,1,5.0,1
502,12,37,2200,37,6866.0,8.0,7.0,6.0,4.789473684,54.51282051,13.0,6.0,0.0,1,4.0,1
503,12,31,0,31,13325.0,7.0,7.0,4.0,2.676470588,187.0,12.0,3.0,10.0,1,9.0,0
504,12,4,0,4,13030.0,8.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
505,12,14,0,7,8772.0,7.0,7.0,1.0,4.375,31.8,5.0,2.0,2.0,1,0.0,0
507,12,12,2935,8,3590.0,10.0,7.0,4.0,1.5,60.66666667,3.0,3.0,6.0,1,3.0,1
509,11,239,0,239,995.0,10.0,10.0,5.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0
511,11,300,500,0,5150.0,10.0,8.0,0.0,1.4,26.0,1.0,1.0,3.0,1,1.0,1
512,11,313,0,313,26310.0,8.0,6.0,3.0,0.608695652,52.5,2.0,0.0,2.0,1,2.0,0
513,11,51,0,51,3028.0,8.0,7.0,8.0,0.875,5.0,1.0,0.0,0.0,1,0.0,0
514,11,12,0,12,2573.0,10.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
516,11,178,0,178,302.0,7.0,1.0,5.0,3.818181818,19.91666667,12.0,6.0,5.0,1,6.0,0
517,11,101,0,101,4792.0,8.0,8.0,5.0,2.210526316,43.72222222,14.0,3.0,0.0,1,3.0,0
520,11,170,0,170,2468.0,8.0,9.0,12.0,1.076923077,16.5,5.0,0.0,3.0,1,0.0,0
521,11,37,200,37,2720.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
522,11,76,0,76,6327.0,8.0,7.0,0.0,0.933333333,63.5,2.0,1.0,2.0,1,1.0,0
523,11,114,11000,114,4851.0,9.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
524,11,28,0,28,14204.0,7.0,7.0,1.0,2.8,174.0,6.0,2.0,5.0,1,2.0,0
525,11,105,177,105,6564.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
526,11,4,349,4,2432.0,9.0,9.0,5.0,0.777777778,63.5,2.0,2.0,0.0,0,1.0,1
527,11,2,0,2,1942.0,10.0,9.0,3.0,1.473684211,11.66666667,5.0,1.0,0.0,1,2.0,0
528,11,69,5500,46,38406.0,7.0,7.0,10.0,2.333333333,74.5,2.0,4.0,10.0,1,2.0,1
529,11,68,0,68,984.0,8.0,9.0,1.0,0.466666667,9.0,1.0,0.0,0.0,1,0.0,0
531,11,71,0,60,1364.0,9.0,7.0,3.0,5.864864865,43.0,30.0,14.0,1.0,1,14.0,0
532,11,78,0,20,2515.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
533,11,75,10,59,1788.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
534,11,45,1293,45,3030.0,5.0,8.0,3.0,0.122807018,27.0,0.0,0.0,0.0,1,0.0,1
535,11,61,2000,35,7020.0,7.0,7.0,1.0,7.0,14.0,11.0,1.0,7.0,1,10.0,1
536,11,35,2200,35,23047.0,8.0,7.0,6.0,3.266666667,92.14285714,7.0,3.0,5.0,1,5.0,1
537,10,175,1500,175,20989.0,7.0,7.0,6.0,7.0,283.3333333,6.0,9.0,0.0,1,6.0,1
538,10,55,0,55,23736.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
539,10,288,0,288,3033.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
540,10,227,644,227,5961.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
542,10,217,0,217,1006.0,8.0,7.0,8.0,0.122807018,37.0,0.0,0.0,0.0,1,0.0,0
543,10,188,0,188,4388.0,8.0,9.0,2.0,0.736842105,125.5,3.0,0.0,1.0,0,2.0,0
545,10,203,0,203,5022.0,8.0,8.0,8.0,0.122807018,34.0,0.0,0.0,0.0,1,0.0,0
549,10,156,0,156,1390.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
552,10,97,500,97,5407.0,8.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
553,10,9,0,9,836.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
555,10,5,50,5,2568.0,10.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
556,10,73,0,73,3276.0,8.0,7.0,4.0,0.777777778,44.33333333,3.0,0.0,1.0,1,0.0,0
557,10,125,105410,125,4116.0,8.0,7.0,15.0,4.175438596,37.97058824,20.0,15.0,0.0,0,4.0,1
558,10,41,899,41,37311.0,7.0,7.0,9.0,7.0,112.0,2.0,3.0,4.0,0,1.0,1
559,10,106,0,98,13342.0,7.0,8.0,17.0,3.818181818,146.6666667,12.0,2.0,10.0,1,1.0,0
561,10,34,14520,22,13883.0,8.0,8.0,9.0,4.052631579,45.18181818,21.0,9.0,2.0,1,12.0,1
562,10,47,0,47,2768.0,10.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
563,10,71,2600,71,7043.0,7.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
564,10,54,3691,54,5311.0,10.0,7.0,8.0,3.438596491,9.071428571,5.0,0.0,1.0,1,3.0,1
565,10,80,5090,67,12551.0,7.0,9.0,3.0,3.684210526,234.4666667,21.0,0.0,0.0,0,15.0,1
567,10,24,500,24,2270.0,10.0,10.0,18.0,0.245614035,34.5,1.0,0.0,1.0,1,1.0,1
568,10,51,200,51,17535.0,7.0,7.0,2.0,0.175,296.0,0.0,0.0,0.0,1,0.0,1
569,10,71,120,59,685.0,10.0,7.0,8.0,0.122807018,3.0,0.0,0.0,0.0,1,0.0,1
570,10,50,6790,50,32334.0,7.0,8.0,4.0,1.060606061,58.2,4.0,3.0,2.0,0,4.0,1
571,10,11,0,11,4551.0,8.0,9.0,9.0,0.614035088,121.8,1.0,1.0,0.0,1,1.0,0
572,10,16,746,16,891.0,8.0,7.0,4.0,1.166666667,56.0,5.0,2.0,1.0,1,1.0,1
573,10,20,2300,13,2779.0,7.0,8.0,5.0,4.627118644,23.35897436,16.0,3.0,2.0,1,10.0,1
574,10,13,3998,3,7825.0,7.0,6.0,2.0,8.596491228,52.72857143,31.0,1.0,0.0,1,2.0,1
575,10,3,0,0,2003.0,6.0,7.0,4.0,3.5,19.0,1.0,0.0,0.0,0,1.0,0
576,10,5,12102,3,6950.0,10.0,7.0,1.0,2.625,12.33333333,3.0,0.0,0.0,1,0.0,1
577,9,96,2300,96,4549.0,7.0,7.0,4.0,0.0,0.0,0.0,2.0,0.0,1,0.0,1
579,9,1,441,1,26317.0,7.0,7.0,3.0,4.375,270.6,5.0,5.0,1.0,1,0.0,1
580,9,319,2192,319,4421.0,9.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
581,9,328,0,328,2573.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
582,9,1,0,1,549.0,8.0,8.0,1.0,2.456140351,4.0,14.0,0.0,0.0,1,7.0,0
585,9,300,0,300,11831.0,8.0,6.0,2.0,0.368421053,9.666666667,0.0,0.0,0.0,1,0.0,0
586,9,257,0,257,836.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
589,9,142,9914,142,3.0,8.0,7.0,0.0,0.325581395,0.5,1.0,0.0,0.0,1,1.0,1
592,9,78,1,78,8628.0,9.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
593,9,166,200,166,2555.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
596,9,166,0,166,1659.0,10.0,8.0,3.0,0.245614035,32.0,1.0,0.0,0.0,1,1.0,0
597,9,142,1494,142,4069.0,8.0,7.0,8.0,0.466666667,46.0,1.0,2.0,0.0,0,1.0,1
598,9,10,10,10,1092.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
599,9,118,0,118,8423.0,8.0,7.0,11.0,1.105263158,10.44444444,6.0,0.0,0.0,0,0.0,0
600,9,93,0,93,4883.0,10.0,8.0,4.0,0.122807018,8.0,0.0,0.0,0.0,1,0.0,0
601,9,129,250,126,2723.0,9.0,7.0,5.0,2.8,11.5,2.0,0.0,0.0,1,1.0,1
602,9,113,300,113,26344.0,7.0,7.0,5.0,0.368421053,43.0,1.0,1.0,0.0,1,0.0,1
603,9,79,0,79,2289.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
604,9,48,500,48,2950.0,10.0,8.0,8.0,0.875,26.0,1.0,0.0,0.0,1,0.0,1
605,9,101,1499,88,501.0,8.0,6.0,6.0,0.14,34.0,0.0,0.0,0.0,1,0.0,1
606,9,107,0,57,42065.0,7.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
607,9,76,0,76,15546.0,7.0,6.0,12.0,4.912280702,9.5,22.0,1.0,6.0,1,12.0,0
